date,open,high,low,close,volume,source,label,ticker
2011-05-30,11456.306,11595.138,11405.062,11478.206,3848136448,akshare,深证成指,sz399001
2011-05-31,11485.748,11665.141,11420.942,11665.141,4206476544,akshare,深证成指,sz399001
2011-06-01,11648.862,11719.644,11593.826,11699.827,4342361088,akshare,深证成指,sz399001
2011-06-02,11566.428,11613.5,11366.119,11506.521,4649949184,akshare,深证成指,sz399001
2011-06-03,11492.33,11690.092,11487.299,11642.401,4101258496,akshare,深证成指,sz399001
2011-06-07,11614.001,11756.904,11599.313,11741.259,4011241472,akshare,深证成指,sz399001
2011-06-08,11726.326,11787.121,11581.636,11761.103,4835774976,akshare,深证成指,sz399001
2011-06-09,11725.209,11735.214,11508.39,11513.203,4877283328,akshare,深证成指,sz399001
2011-06-10,11508.583,11596.583,11454.036,11593.379,4338783744,akshare,深证成指,sz399001
2011-06-13,11518.06,11558.658,11427.153,11521.984,3638312704,akshare,深证成指,sz399001
2011-06-14,11501.22,11765.124,11495.108,11732.036,4896489472,akshare,深证成指,sz399001
2011-06-15,11703.194,11794.544,11614.377,11615.969,4489416192,akshare,深证成指,sz399001
2011-06-16,11516.651,11551.317,11417.576,11435.987,4157182208,akshare,深证成指,sz399001
2011-06-17,11451.76,11567.002,11409.157,11409.157,3609378816,akshare,深证成指,sz399001
2011-06-20,11408.361,11446.757,11288.623,11328.67,3314439936,akshare,深证成指,sz399001
2011-06-21,11360.93,11514.25,11360.93,11509.982,3854500608,akshare,深证成指,sz399001
2011-06-22,11524.627,11598.754,11484.732,11543.654,3739523328,akshare,深证成指,sz399001
2011-06-23,11511.91,11817.223,11474.979,11775.317,4814255104,akshare,深证成指,sz399001
2011-06-24,11749.927,12092.23,11732.213,11996.08,7248268288,akshare,深证成指,sz399001
2011-06-27,12005.058,12106.652,11947.491,12026.293,6509142016,akshare,深证成指,sz399001
2011-06-28,12056.526,12067.09,11928.995,12047.09,5401734144,akshare,深证成指,sz399001
2011-06-29,12048.858,12102.351,11911.834,11913.201,5221327360,akshare,深证成指,sz399001
2011-06-30,11935.828,12157.559,11930.35,12110.931,5632382976,akshare,深证成指,sz399001
2011-07-01,12148.967,12267.807,12087.917,12178.083,5933350400,akshare,深证成指,sz399001
2011-07-04,12241.664,12475.389,12241.664,12441.168,7690360832,akshare,深证成指,sz399001
2011-07-05,12432.97,12486.708,12382.821,12440.37,7403431936,akshare,深证成指,sz399001
2011-07-06,12420.626,12446.778,12311.146,12425.68,6817832960,akshare,深证成指,sz399001
2011-07-07,12440.862,12548.978,12375.229,12392.927,7737943552,akshare,深证成指,sz399001
