date,上证指数,沪深300,深证成指,创业板指
2011-05-30,2706.361,2954.506,11478.206,834.316
2011-05-31,2743.472,3001.556,11665.141,846.315
2011-06-01,2743.572,3004.173,11699.827,851.166
2011-06-02,2705.181,2955.705,11506.521,833.737
2011-06-03,2728.02,2986.349,11642.401,847.545
2011-06-07,2744.3,3004.262,11741.259,847.709
2011-06-08,2750.288,3008.652,11761.103,844.978
2011-06-09,2703.345,2951.889,11513.203,828.016
2011-06-10,2705.143,2961.932,11593.379,824.03
2011-06-13,2700.379,2950.348,11521.984,829.359
2011-06-14,2730.04,2993.559,11732.036,838.474
2011-06-15,2705.431,2963.119,11615.969,827.533
2011-06-16,2664.283,2917.578,11435.987,810.709
2011-06-17,2642.818,2892.157,11409.157,802.637
2011-06-20,2621.253,2874.896,11328.67,791.758
2011-06-21,2646.483,2909.073,11509.982,795.608
2011-06-22,2649.321,2908.582,11543.654,791.513
2011-06-23,2688.249,2957.629,11775.317,814.444
2011-06-24,2746.211,3027.47,11996.08,832.324
2011-06-27,2758.23,3036.491,12026.293,843.859
2011-06-28,2759.202,3041.734,12047.09,844.177
2011-06-29,2728.483,3000.169,11913.201,836.384
2011-06-30,2762.076,3044.089,12110.931,845.919
2011-07-01,2759.362,3049.745,12178.083,855.27
2011-07-04,2812.818,3121.98,12441.168,876.168
2011-07-05,2816.355,3122.5,12440.37,883.417
2011-07-06,2810.479,3113.712,12425.68,894.277
2011-07-07,2794.267,3101.68,12392.927,899.798
2011-07-08,2797.774,3109.183,12404.341,894.909
2011-07-11,2802.692,3113.206,12438.564,903.31
2011-07-12,2754.582,3056.905,12268.188,891.516
2011-07-13,2795.476,3106.247,12479.154,913.085
2011-07-14,2810.444,3115.745,12440.829,932.775
2011-07-15,2820.169,3128.889,12506.936,951.138
2011-07-18,2816.688,3122.6,12490.55,946.118
2011-07-19,2796.983,3095.125,12381.463,927.297
2011-07-20,2794.205,3091.567,12393.988,930.828
2011-07-21,2765.894,3059.139,12301.405,915.368
2011-07-22,2770.79,3067.985,12352.502,923.995
2011-07-25,2688.746,2968.289,11966.244,887.063
2011-07-26,2703.026,2977.766,12008.533,892.54
2011-07-27,2723.492,3000.052,12116.861,915.548
2011-07-28,2708.777,2981.002,12085.922,919.395
2011-07-29,2701.729,2972.079,11990.428,913.278
2011-08-01,2703.783,2977.721,12002.416,927.384
2011-08-02,2679.259,2956.383,11932.042,932.121
2011-08-03,2678.485,2954.87,11922.369,945.509
2011-08-04,2684.039,2960.309,11934.414,937.475
2011-08-05,2626.423,2897.417,11701.763,919.185
2011-08-08,2526.816,2793.897,11312.626,877.443
2011-08-09,2526.07,2798.19,11315.081,878.761
2011-08-10,2549.176,2824.12,11449.582,891.752
2011-08-11,2581.508,2866.924,11627.494,915.489
2011-08-12,2593.173,2875.365,11651.29,926.297
2011-08-15,2626.77,2917.883,11767.742,942.485
2011-08-16,2608.166,2897.581,11665.412,933.139
2011-08-17,2601.261,2886.013,11598.283,936.159
2011-08-18,2559.472,2834.254,11414.159,915.684
2011-08-19,2534.358,2807.664,11301.532,912.421
2011-08-22,2515.863,2777.787,11112.638,910.606
2011-08-23,2554.019,2821.003,11243.419,936.416
2011-08-24,2541.091,2810.016,11238.952,940.196
